COD_RH;                 PARTICIPANTE;                 EVENTO;                FECHA;                LUGAR;                PRODUCTOS;                 TIPO_PRODUCTO 
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;XIV LACCEI INTERNATIONAL MULTICONFERENCE FOR ENGINEERING, EDUCATION AND TECHNOLOGY;2016;San José;MODELO DE MEDICIN DE LA GESTIN DEL CONOCIMIENTO EN DOCENCIA UNIVERSITARIA CASO DE ESTUDIO;Producción técnica  Presentación de trabajo  Ponencia;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;Congreso nacional de ingenieria CECAR;2012;MEDELLÍN;Tecnologías CAD  CAM en Ingeniería Industrial;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;CISTI2011, la 6 Conferencia Ibérica de Sistemas y Tecnologías de Información, a celebrar entre el 15 y 18 de Junio de 2011, en Chaves, Portugal;2011;Chaves;Blearning en la formacion de ingenieros industriales aplicacion en la asignatura procesos mecanicos;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;V SIMPOSIO INTERNACIONAL deSISTEMAS DE INFORMACIN E INGENIERA DE SOFTWARE EN LA SOCIEDAD DEL CONOCIMIENTO;2010;BOGOTÁ, DC;Diseño Asistido por Computador CAD Enseñanza en Ingeniería;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;10th IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES;2015;Águeda;ESTRATEGIAS PARA EL DESARROLLO DE HABILIDADES ESPECIALES POR MEDIO DE A IMPLEMENTACIN DE TIC;Producción técnica  Presentación de trabajo  Ponencia;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;2 SIMPOSIO INTERNACIONAL DE POSTGRADOS EN TEMAS Y PROBLEMAS DE INVESTIGACIN EN EDUCACIN RETOS Y DESAFOS EN LA POCA DE LA INCLUSIN Y LA INTERCULTURALIDAD;2014;BOGOTÁ, DC;LA EVALUACIN COMO ESTRATEGIA PARA PROMOVER LA INTERACCIN ONLINE;Producción técnica  Presentación de trabajo  Ponencia;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;PROC 14TH ANNUAL MEETING OF THE EUROPEAN SOCIETY OF MOVEMENT ANALYSIS FOR ADULTS AND CHILDRENS ESMAC 2005;2005;BARCELONA;A BONDGRAPH APPROACH TO HUMAN GAIT SIMULATION;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;IV Congreso Internacional de Computación;2014;acapulco;la evaluacion a traves de herramientas web 20 como estrategia de aprtendizaje;Producción técnica  Presentación de trabajo  Ponencia;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;CIIE 2016  3er Congreso Internacional de Innovación Educativa  Innovar para transformar Simposio Internacional de Postgrados en temas y problemas de investigación;2016;CHÍA;Del docente blearning al docente prosumer competencias para la gestión del conocimiento;Producción técnica  Presentación de trabajo  Ponencia;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;VI Congreso internacional de experiencias Pedagógicas y Didácticas en Educación Virtual;2016;BOGOTÁ, DC;Nuevas funciones del docente para la gestión del conocimiento en la Web Social;Producción técnica  Presentación de trabajo  Ponencia;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;International Conference on Information Technology and Systems;2018;LIBERTAD;Industry Knowledge Management Model 40;Demás trabajos  Demás trabajos  Póster;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;III Congreso Internacional Gestión del Conocimiento perspectiva multidisciplinaria;2020;MEDELLÍN;Una experiencia de transformación de la educación por medio de la tecnología hacia la creatividad e innovación;Producción técnica  Presentación de trabajo  Ponencia;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;III Congreso Internacional Gestión del Conocimiento perspectiva multidisciplinaria;2020;MEDELLÍN;Propuesta de un modelo de analítica para datos educativos;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;I Congreso Internacional de Telecomunicaciones;2006;BOGOTÁ, DC;;;
0000217344;Elvis Eduardo Gaona Garcia;Seminario Internacional en Fuentes Alternativas de Energía y Eficiencia Energética SIFAE 2013;2013;BOGOTÁ, DC;Algoritmos de Cifrado Simétrico y SHA Aplicados a PMUs en Redes Inteligentes;Demás trabajos  Demás trabajos  Póster;
0000217344;Elvis Eduardo Gaona Garcia;International Congress on mechanical and electric Engineering ICMEE2014;2014;Coatzacoalcos;Arquitectura MDA para WSN en Microrredes Eléctricas;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;8th LACCEI Conference Latin American and Caribbena Conference for Engineering and Technology;2010;Arequipa;Modelo Informático para Autenticidad de Contenidos Mediante el Concepto de Web of Trust Sobre Plataformas Virtuales LCMS;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;Workshop on Engineering Applications WEA 2016;2016;BOGOTÁ, DC;Isolated Rural Microgrids in Colombia Opportunities, Challenges and Strategies;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;Workshop on Engineering Applications  International Congress on Engineering;2015;BOGOTÁ, DC;Measurement Infrastructure on Microgrids Using Wireless Sensors;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;First International Conference on Technology and Electrical Engineering;2015;BOGOTÁ, DC;Protocolos de encaminamiento reactivos para la transferencia de datos en microrredes rurales aisladas;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;4tas Jornadas Iberoamericanas de Generación Distribuida y Microrredes Eléctricas Inteligentes RIGMEI 2016;2016;BUCARAMANGA;Esquemas de trasmisión de datos en una microrred a través de una infraestructura de medición de datos avanzada;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;4tas Jornadas Iberoamericanas de Generación Distribuida y Microrredes Eléctricas Inteligentes RIGMEI 2016;2016;BUCARAMANGA;Algoritmo de encaminamiento con reconfiguración de topología para red de sensores inalámbricos Zigbee, aplicado a una Microrred en modo Isla;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;X Congreso Internacional de Electrónica Control y Telecomunicaciones;2014;BOGOTÁ, DC;Solución al Sistema de Comunicaciones para un picosatélite y Estaciones Terrenas  Cubesat UD Colombia 1;Producción técnica  Presentación de trabajo  Ponencia;
